"Station","Date.UTC.","Amount.mm.","Period.Hrs.","Freq","UTC_date"
"Auckland, North Shore Albany Ews","20100704:0600",0.9,1,"H",2010-07-04 06:00:00
"Auckland, North Shore Albany Ews","20100705:0600",0.1,1,"H",2010-07-05 06:00:00
"Auckland, North Shore Albany Ews","20100706:0600",0.2,1,"H",2010-07-06 06:00:00
"Auckland, North Shore Albany Ews","20100707:0600",0,1,"H",2010-07-07 06:00:00
"Auckland, North Shore Albany Ews","20100708:0600",0,1,"H",2010-07-08 06:00:00
"Auckland, North Shore Albany Ews","20100709:0600",0,1,"H",2010-07-09 06:00:00
"Auckland, North Shore Albany Ews","20100710:0600",0,1,"H",2010-07-10 06:00:00
"Auckland, North Shore Albany Ews","20100711:0600",0,1,"H",2010-07-11 06:00:00
"Auckland, North Shore Albany Ews","20100712:0600",0,1,"H",2010-07-12 06:00:00
"Auckland, North Shore Albany Ews","20100713:0600",0,1,"H",2010-07-13 06:00:00
"Auckland, North Shore Albany Ews","20100714:0600",0,1,"H",2010-07-14 06:00:00
"Auckland, North Shore Albany Ews","20100715:0600",0,1,"H",2010-07-15 06:00:00
"Auckland, North Shore Albany Ews","20100716:0600",0.1,1,"H",2010-07-16 06:00:00
"Auckland, North Shore Albany Ews","20100717:0600",0,1,"H",2010-07-17 06:00:00
"Auckland, North Shore Albany Ews","20100718:0600",0,1,"H",2010-07-18 06:00:00
"Auckland, North Shore Albany Ews","20100719:0600",0,1,"H",2010-07-19 06:00:00
"Auckland, North Shore Albany Ews","20100720:0600",0,1,"H",2010-07-20 06:00:00
"Auckland, North Shore Albany Ews","20100721:0600",0.9,1,"H",2010-07-21 06:00:00
"Auckland, North Shore Albany Ews","20100722:0600",0,1,"H",2010-07-22 06:00:00
"Auckland, North Shore Albany Ews","20100723:0600",0,1,"H",2010-07-23 06:00:00
"Auckland, North Shore Albany Ews","20100724:0600",0,1,"H",2010-07-24 06:00:00
"Auckland, North Shore Albany Ews","20100725:0600",0,1,"H",2010-07-25 06:00:00
"Auckland, North Shore Albany Ews","20100726:0600",0.1,1,"H",2010-07-26 06:00:00
"Auckland, North Shore Albany Ews","20100727:0600",0.1,1,"H",2010-07-27 06:00:00
"Auckland, North Shore Albany Ews","20100728:0600",0,1,"H",2010-07-28 06:00:00
"Auckland, North Shore Albany Ews","20100729:0600",0,1,"H",2010-07-29 06:00:00
"Auckland, North Shore Albany Ews","20100730:0600",0,1,"H",2010-07-30 06:00:00
"Auckland, North Shore Albany Ews","20100731:0600",0,1,"H",2010-07-31 06:00:00
"Auckland, North Shore Albany Ews","20100801:0600",0.4,1,"H",2010-08-01 06:00:00
"Auckland, North Shore Albany Ews","20100802:0600",0,1,"H",2010-08-02 06:00:00
"Auckland, North Shore Albany Ews","20100803:0600",0.2,1,"H",2010-08-03 06:00:00
"Auckland, North Shore Albany Ews","20100804:0600",0.1,1,"H",2010-08-04 06:00:00
"Auckland, North Shore Albany Ews","20100805:0600",0,1,"H",2010-08-05 06:00:00
"Auckland, North Shore Albany Ews","20100806:0600",0,1,"H",2010-08-06 06:00:00
"Auckland, North Shore Albany Ews","20100807:0600",1,1,"H",2010-08-07 06:00:00
"Auckland, North Shore Albany Ews","20100808:0600",0.1,1,"H",2010-08-08 06:00:00
"Auckland, North Shore Albany Ews","20100809:0600",0.1,1,"H",2010-08-09 06:00:00
"Auckland, North Shore Albany Ews","20100810:0600",0,1,"H",2010-08-10 06:00:00
"Auckland, North Shore Albany Ews","20100811:0600",0,1,"H",2010-08-11 06:00:00
"Auckland, North Shore Albany Ews","20100812:0600",0,1,"H",2010-08-12 06:00:00
"Auckland, North Shore Albany Ews","20100813:0600",0,1,"H",2010-08-13 06:00:00
"Auckland, North Shore Albany Ews","20100814:0600",0.1,1,"H",2010-08-14 06:00:00
"Auckland, North Shore Albany Ews","20100815:0600",0,1,"H",2010-08-15 06:00:00
"Auckland, North Shore Albany Ews","20100816:0600",0,1,"H",2010-08-16 06:00:00
"Auckland, North Shore Albany Ews","20100817:0600",0.1,1,"H",2010-08-17 06:00:00
"Auckland, North Shore Albany Ews","20100818:0600",0.2,1,"H",2010-08-18 06:00:00
"Auckland, North Shore Albany Ews","20100819:0600",0.2,1,"H",2010-08-19 06:00:00
"Auckland, North Shore Albany Ews","20100820:0600",0.1,1,"H",2010-08-20 06:00:00
"Auckland, North Shore Albany Ews","20100821:0600",0,1,"H",2010-08-21 06:00:00
"Auckland, North Shore Albany Ews","20100822:0600",0.1,1,"H",2010-08-22 06:00:00
"Auckland, North Shore Albany Ews","20100823:0600",0.1,1,"H",2010-08-23 06:00:00
"Auckland, North Shore Albany Ews","20100824:0600",0,1,"H",2010-08-24 06:00:00
"Auckland, North Shore Albany Ews","20100825:0600",1.3,1,"H",2010-08-25 06:00:00
"Auckland, North Shore Albany Ews","20100826:0600",0,1,"H",2010-08-26 06:00:00
"Auckland, North Shore Albany Ews","20100827:0600",0.1,1,"H",2010-08-27 06:00:00
"Auckland, North Shore Albany Ews","20100828:0600",0,1,"H",2010-08-28 06:00:00
"Auckland, North Shore Albany Ews","20100829:0600",0.2,1,"H",2010-08-29 06:00:00
"Auckland, North Shore Albany Ews","20100830:0600",0.1,1,"H",2010-08-30 06:00:00
"Auckland, North Shore Albany Ews","20100831:0600",0.3,1,"H",2010-08-31 06:00:00
"Auckland, North Shore Albany Ews","20100901:0600",0,1,"H",2010-09-01 06:00:00
"Auckland, North Shore Albany Ews","20100902:0600",0.2,1,"H",2010-09-02 06:00:00
"Auckland, North Shore Albany Ews","20100903:0600",0.1,1,"H",2010-09-03 06:00:00
